username,repo_name,stars,repo_url
public-apis,public-apis,209000,https://github.com/public-apis/public-apis
neovim,neovim,57800,https://github.com/neovim/neovim
tiangolo,fastapi,49700,https://github.com/tiangolo/fastapi
strapi,strapi,47900,https://github.com/strapi/strapi
hoppscotch,hoppscotch,47000,https://github.com/hoppscotch/hoppscotch
slatedocs,slate,34500,https://github.com/slatedocs/slate
meilisearch,meilisearch,29400,https://github.com/meilisearch/meilisearch
hasura,graphql-engine,28000,https://github.com/hasura/graphql-engine
ccxt,ccxt,25700,https://github.com/ccxt/ccxt
Binaryify,NeteaseCloudMusicApi,25600,https://github.com/Binaryify/NeteaseCloudMusicApi
YMFE,yapi,25000,https://github.com/YMFE/yapi
encode,django-rest-framework,24100,https://github.com/encode/django-rest-framework
httpie,httpie,23800,https://github.com/httpie/httpie
Kong,insomnia,23500,https://github.com/Kong/insomnia
littlecodersh,ItChat,22500,https://github.com/littlecodersh/ItChat
paularmstrong,normalizr,20900,https://github.com/paularmstrong/normalizr
FallibleInc,security-guide-for-developers,20400,https://github.com/FallibleInc/security-guide-for-developers
microsoft,api-guidelines,20000,https://github.com/microsoft/api-guidelines
pubkey,rxdb,18100,https://github.com/pubkey/rxdb
shieldfy,API-Security-Checklist,17900,https://github.com/shieldfy/API-Security-Checklist
