username,repo_name,stars,repo_url
sindresorhus,awesome,220000,https://github.com/sindresorhus/awesome
vinta,awesome-python,142000,https://github.com/vinta/awesome-python
awesome-selfhosted,awesome-selfhosted,103000,https://github.com/awesome-selfhosted/awesome-selfhosted
avelino,awesome-go,88100,https://github.com/avelino/awesome-go
trimstray,the-book-of-secret-knowledge,77900,https://github.com/trimstray/the-book-of-secret-knowledge
papers-we-love,papers-we-love,64500,https://github.com/papers-we-love/papers-we-love
521xueweihan,HelloGitHub,59400,https://github.com/521xueweihan/HelloGitHub
Hack-with-Github,Awesome-Hacking,56100,https://github.com/Hack-with-Github/Awesome-Hacking
jaywcjlove,awesome-mac,53200,https://github.com/jaywcjlove/awesome-mac
DopplerHQ,awesome-interview-questions,49800,https://github.com/DopplerHQ/awesome-interview-questions
sindresorhus,awesome-nodejs,46900,https://github.com/sindresorhus/awesome-nodejs
wasabeef,awesome-android-ui,43900,https://github.com/wasabeef/awesome-android-ui
MunGell,awesome-for-beginners,43800,https://github.com/MunGell/awesome-for-beginners
Solido,awesome-flutter,42800,https://github.com/Solido/awesome-flutter
prakhar1989,awesome-courses,42800,https://github.com/prakhar1989/awesome-courses
binhnguyennus,awesome-scalability,40700,https://github.com/binhnguyennus/awesome-scalability
vsouza,awesome-ios,40600,https://github.com/vsouza/awesome-ios
fffaraz,awesome-cpp,40300,https://github.com/fffaraz/awesome-cpp
tiimgreen,github-cheat-sheet,36900,https://github.com/tiimgreen/github-cheat-sheet
dypsilon,frontend-dev-bookmarks,35200,https://github.com/dypsilon/frontend-dev-bookmarks
