username,repo_name,stars,repo_url
ohmyzsh,ohmyzsh,150000,https://github.com/ohmyzsh/ohmyzsh
junegunn,fzf,47100,https://github.com/junegunn/fzf
sharkdp,bat,37200,https://github.com/sharkdp/bat
sherlock-project,sherlock,35500,https://github.com/sherlock-project/sherlock
google,zx,34200,https://github.com/google/zx
wagoodman,dive,33800,https://github.com/wagoodman/dive
BurntSushi,ripgrep,33200,https://github.com/BurntSushi/ripgrep
chubin,cheat.sh,30500,https://github.com/chubin/cheat.sh
cli,cli,29900,https://github.com/cli/cli
jesseduffield,lazygit,29800,https://github.com/jesseduffield/lazygit
spf13,cobra,28600,https://github.com/spf13/cobra
angular,angular-cli,25600,https://github.com/angular/angular-cli
n8n-io,n8n,25500,https://github.com/n8n-io/n8n
alebcay,awesome-shell,24900,https://github.com/alebcay/awesome-shell
sharkdp,fd,24600,https://github.com/sharkdp/fd
ibraheemdev,modern-unix,24200,https://github.com/ibraheemdev/modern-unix
httpie,httpie,23800,https://github.com/httpie/httpie
google,python-fire,23000,https://github.com/google/python-fire
tqdm,tqdm,22900,https://github.com/tqdm/tqdm
vercel,pkg,22000,https://github.com/vercel/pkg
